Date,CLAComdty_TRADE_VALUE,CLAComdty_TRADE_VOLUME,CLAComdty_TRADE_NUM_TICKS,CLAComdty_TRADE_LOW_PRICE,CLAComdty_TRADE_HIGH_PRICE,CLAComdty_TRADE_CLOSE_PRICE,CLAComdty_TRADE_OPEN_PRICE
2017-08-17 0:16,143.67,3,1,47.89,47.89,47.89,47.89
2017-08-17 3:40,47.84,1,1,47.84,47.84,47.84,47.84
2017-08-17 4:27,47.77,1,1,47.77,47.77,47.77,47.77
2017-08-17 4:43,47.69,1,1,47.69,47.69,47.69,47.69
2017-08-17 5:04,476.1,10,7,47.61,47.61,47.61,47.61
2017-08-17 8:24,475.1,10,3,47.51,47.51,47.51,47.51
2017-08-17 8:59,428.24,9,4,47.58,47.59,47.59,47.58
2017-08-17 9:01,47.58,1,1,47.58,47.58,47.58,47.58
2017-08-17 9:04,47.55,1,1,47.55,47.55,47.55,47.55
2017-08-17 9:19,474.1,10,1,47.41,47.41,47.41,47.41
2017-08-17 9:26,142.35,3,2,47.45,47.45,47.45,47.45
2017-08-17 9:50,47.65,1,1,47.65,47.65,47.65,47.65
2017-08-17 9:59,95.18,2,1,47.59,47.59,47.59,47.59
2017-08-17 10:03,47.73,1,1,47.73,47.73,47.73,47.73
2017-08-17 10:04,47.74,1,1,47.74,47.74,47.74,47.74
2017-08-17 10:27,47.74,1,1,47.74,47.74,47.74,47.74
2017-08-17 10:29,47.75,1,1,47.75,47.75,47.75,47.75
2017-08-17 10:32,47.75,1,1,47.75,47.75,47.75,47.75
2017-08-17 10:34,95.4,2,1,47.7,47.7,47.7,47.7
2017-08-17 10:56,47.77,1,1,47.77,47.77,47.77,47.77
2017-08-17 10:57,47.83,1,1,47.83,47.83,47.83,47.83
2017-08-17 10:59,95.86,2,1,47.93,47.93,47.93,47.93
2017-08-17 11:19,47.85,1,1,47.85,47.85,47.85,47.85
2017-08-17 11:32,47.83,1,1,47.83,47.83,47.83,47.83
2017-08-17 11:52,47.72,1,1,47.72,47.72,47.72,47.72
2017-08-17 12:33,47.83,1,1,47.83,47.83,47.83,47.83
2017-08-17 13:49,383.24,8,8,47.9,47.92,47.9,47.92
2017-08-17 14:24,1198.5,25,10,47.94,47.94,47.94,47.94
2017-08-17 14:28,143.65,3,3,47.88,47.89,47.88,47.89
2017-08-17 14:29,47.87,1,1,47.87,47.87,47.87,47.87
2017-08-17 15:23,47.85,1,1,47.85,47.85,47.85,47.85
