BarTp,Trade,,,,,,,,BarTp,Bid,,,,,,,,BarTp,Ask,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
H15T10Y Index,,,,,,,,,,,,,,,,,,,,,,,,,
Dates,Value,Volume,Number_Ticks,Low,High,Close,Open,,Dates,Value,Volume,Number_Ticks,Low,High,Close,Open,,Dates,Value,Volume,Number_Ticks,Low,High,Close,Open
8/17/2017 16:10,0,0,1,2.19,2.19,2.19,2.19,,8/17/2017 16:10,0,0,1,2.19,2.19,2.19,2.19,,8/17/2017 16:10,0,0,1,2.19,2.19,2.19,2.19
8/18/2017 16:16,0,0,1,2.19,2.19,2.19,2.19,,8/18/2017 16:16,0,0,1,2.19,2.19,2.19,2.19,,8/18/2017 16:16,0,0,1,2.19,2.19,2.19,2.19
8/21/2017 16:03,0,0,1,2.18,2.18,2.18,2.18,,8/21/2017 16:03,0,0,1,2.18,2.18,2.18,2.18,,8/21/2017 16:03,0,0,1,2.18,2.18,2.18,2.18
8/22/2017 16:26,0,0,1,2.22,2.22,2.22,2.22,,8/22/2017 16:26,0,0,1,2.22,2.22,2.22,2.22,,8/22/2017 16:26,0,0,1,2.22,2.22,2.22,2.22
8/23/2017 16:12,0,0,1,2.17,2.17,2.17,2.17,,8/23/2017 16:12,0,0,1,2.17,2.17,2.17,2.17,,8/23/2017 16:12,0,0,1,2.17,2.17,2.17,2.17
8/24/2017 16:23,0,0,1,2.19,2.19,2.19,2.19,,8/24/2017 16:23,0,0,1,2.19,2.19,2.19,2.19,,8/24/2017 16:23,0,0,1,2.19,2.19,2.19,2.19
8/25/2017 16:02,0,0,1,2.17,2.17,2.17,2.17,,8/25/2017 16:02,0,0,1,2.17,2.17,2.17,2.17,,8/25/2017 16:02,0,0,1,2.17,2.17,2.17,2.17
8/28/2017 16:11,0,0,1,2.16,2.16,2.16,2.16,,8/28/2017 16:11,0,0,1,2.16,2.16,2.16,2.16,,8/28/2017 16:11,0,0,1,2.16,2.16,2.16,2.16
8/29/2017 16:20,0,0,1,2.13,2.13,2.13,2.13,,8/29/2017 16:20,0,0,1,2.13,2.13,2.13,2.13,,8/29/2017 16:20,0,0,1,2.13,2.13,2.13,2.13
8/30/2017 16:46,0,0,1,2.15,2.15,2.15,2.15,,8/30/2017 16:46,0,0,1,2.15,2.15,2.15,2.15,,8/30/2017 16:46,0,0,1,2.15,2.15,2.15,2.15
8/31/2017 16:07,0,0,1,2.12,2.12,2.12,2.12,,8/31/2017 16:07,0,0,1,2.12,2.12,2.12,2.12,,8/31/2017 16:07,0,0,1,2.12,2.12,2.12,2.12
9/1/2017 16:15,0,0,1,2.16,2.16,2.16,2.16,,9/1/2017 16:15,0,0,1,2.16,2.16,2.16,2.16,,9/1/2017 16:15,0,0,1,2.16,2.16,2.16,2.16
9/5/2017 16:14,0,0,1,2.07,2.07,2.07,2.07,,9/5/2017 16:14,0,0,1,2.07,2.07,2.07,2.07,,9/5/2017 16:14,0,0,1,2.07,2.07,2.07,2.07
9/6/2017 16:05,0,0,1,2.1,2.1,2.1,2.1,,9/6/2017 16:05,0,0,1,2.1,2.1,2.1,2.1,,9/6/2017 16:05,0,0,1,2.1,2.1,2.1,2.1
9/7/2017 16:24,0,0,1,2.05,2.05,2.05,2.05,,9/7/2017 16:24,0,0,1,2.05,2.05,2.05,2.05,,9/7/2017 16:24,0,0,1,2.05,2.05,2.05,2.05
9/8/2017 16:00,0,0,1,2.06,2.06,2.06,2.06,,9/8/2017 16:00,0,0,1,2.06,2.06,2.06,2.06,,9/8/2017 16:00,0,0,1,2.06,2.06,2.06,2.06
9/11/2017 16:12,0,0,1,2.14,2.14,2.14,2.14,,9/11/2017 16:12,0,0,1,2.14,2.14,2.14,2.14,,9/11/2017 16:12,0,0,1,2.14,2.14,2.14,2.14
9/12/2017 16:06,0,0,1,2.17,2.17,2.17,2.17,,9/12/2017 16:06,0,0,1,2.17,2.17,2.17,2.17,,9/12/2017 16:06,0,0,1,2.17,2.17,2.17,2.17
9/13/2017 16:15,0,0,1,2.2,2.2,2.2,2.2,,9/13/2017 16:15,0,0,1,2.2,2.2,2.2,2.2,,9/13/2017 16:15,0,0,1,2.2,2.2,2.2,2.2
9/14/2017 16:12,0,0,1,2.2,2.2,2.2,2.2,,9/14/2017 16:12,0,0,1,2.2,2.2,2.2,2.2,,9/14/2017 16:12,0,0,1,2.2,2.2,2.2,2.2
9/15/2017 16:01,0,0,1,2.2,2.2,2.2,2.2,,9/15/2017 16:01,0,0,1,2.2,2.2,2.2,2.2,,9/15/2017 16:01,0,0,1,2.2,2.2,2.2,2.2
9/18/2017 16:23,0,0,1,2.23,2.23,2.23,2.23,,9/18/2017 16:23,0,0,1,2.23,2.23,2.23,2.23,,9/18/2017 16:23,0,0,1,2.23,2.23,2.23,2.23
9/19/2017 16:13,0,0,1,2.24,2.24,2.24,2.24,,9/19/2017 16:13,0,0,1,2.24,2.24,2.24,2.24,,9/19/2017 16:13,0,0,1,2.24,2.24,2.24,2.24
9/21/2017 16:13,0,0,1,2.27,2.27,2.27,2.27,,9/20/2017 17:29,0,0,1,2.28,2.28,2.28,2.28,,9/20/2017 17:29,0,0,1,2.28,2.28,2.28,2.28
9/22/2017 16:20,0,0,1,2.26,2.26,2.26,2.26,,9/21/2017 16:13,0,0,1,2.27,2.27,2.27,2.27,,9/21/2017 16:13,0,0,1,2.27,2.27,2.27,2.27
9/25/2017 16:14,0,0,1,2.22,2.22,2.22,2.22,,9/22/2017 16:20,0,0,1,2.26,2.26,2.26,2.26,,9/22/2017 16:20,0,0,1,2.26,2.26,2.26,2.26
9/27/2017 16:33,0,0,1,2.31,2.31,2.31,2.31,,9/25/2017 16:14,0,0,1,2.22,2.22,2.22,2.22,,9/25/2017 16:14,0,0,1,2.22,2.22,2.22,2.22
9/28/2017 16:13,0,0,1,2.31,2.31,2.31,2.31,,9/26/2017 17:31,0,0,2,2.24,2.24,2.24,2.24,,9/26/2017 17:31,0,0,2,2.24,2.24,2.24,2.24
9/29/2017 16:14,0,0,1,2.33,2.33,2.33,2.33,,9/27/2017 16:33,0,0,1,2.31,2.31,2.31,2.31,,9/27/2017 16:33,0,0,1,2.31,2.31,2.31,2.31
10/4/2017 16:51,0,0,1,2.33,2.33,2.33,2.33,,9/28/2017 16:13,0,0,1,2.31,2.31,2.31,2.31,,9/28/2017 16:13,0,0,1,2.31,2.31,2.31,2.31
10/5/2017 16:29,0,0,1,2.35,2.35,2.35,2.35,,9/29/2017 16:14,0,0,1,2.33,2.33,2.33,2.33,,9/29/2017 16:14,0,0,1,2.33,2.33,2.33,2.33
10/6/2017 16:09,0,0,1,2.37,2.37,2.37,2.37,,10/2/2017 17:59,0,0,1,2.34,2.34,2.34,2.34,,10/2/2017 17:59,0,0,1,2.34,2.34,2.34,2.34
10/10/2017 16:33,0,0,1,2.35,2.35,2.35,2.35,,10/3/2017 17:25,0,0,1,2.33,2.33,2.33,2.33,,10/3/2017 17:25,0,0,1,2.33,2.33,2.33,2.33
10/11/2017 16:15,0,0,1,2.35,2.35,2.35,2.35,,10/4/2017 16:51,0,0,1,2.33,2.33,2.33,2.33,,10/4/2017 16:51,0,0,1,2.33,2.33,2.33,2.33
10/12/2017 16:17,0,0,1,2.33,2.33,2.33,2.33,,10/5/2017 16:29,0,0,1,2.35,2.35,2.35,2.35,,10/5/2017 16:29,0,0,1,2.35,2.35,2.35,2.35
10/13/2017 16:53,0,0,1,2.28,2.28,2.28,2.28,,10/6/2017 16:09,0,0,1,2.37,2.37,2.37,2.37,,10/6/2017 16:09,0,0,1,2.37,2.37,2.37,2.37
