Start Date,1/1/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICLB10Y Index,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price,,H15T10Y Index,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price,,SPX Index,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price,,CT10 Govt,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price,,USSOC Curncy,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price,,VIX Index,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price,,CLA Comdty,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price,,MOODCBAA Index,Official Closing Price,Last Price,Ask Price,Volume,Open Price,High Price,Low Price,Bid Price
Dates,PX_OFFICIAL_CLOSE,PX_LAST,PX_ASK,PX_VOLUME,PX_OPEN,PX_HIGH,PX_LOW,PX_BID,,Dates,PX_OFFICIAL_CLOSE,PX_LAST,PX_ASK,PX_VOLUME,PX_OPEN,PX_HIGH,PX_LOW,PX_BID,,Dates,PX_OFFICIAL_CLOSE,PX_LAST,PX_ASK,PX_VOLUME,PX_OPEN,PX_HIGH,PX_LOW,PX_BID,,Dates,PX_OFFICIAL_CLOSE,PX_LAST,PX_ASK,PX_VOLUME,PX_OPEN,PX_HIGH,PX_LOW,PX_BID,,Dates,PX_OFFICIAL_CLOSE,PX_LAST,PX_ASK,PX_VOLUME,PX_OPEN,PX_HIGH,PX_LOW,PX_BID,,Dates,PX_OFFICIAL_CLOSE,PX_LAST,PX_ASK,PX_VOLUME,PX_OPEN,PX_HIGH,PX_LOW,PX_BID,,Dates,PX_OFFICIAL_CLOSE,PX_LAST,PX_ASK,PX_VOLUME,PX_OPEN,PX_HIGH,PX_LOW,PX_BID,,Dates,PX_OFFICIAL_CLOSE,PX_LAST,PX_ASK,PX_VOLUME,PX_OPEN,PX_HIGH,PX_LOW,PX_BID
1/2/95,#N/A N/A,131.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/2/95,#N/A N/A,7.84,#N/A N/A,#N/A N/A,7.83,7.83,7.83,#N/A N/A,,1/2/95,#N/A N/A,459.27,#N/A N/A,143456400,461.17,462.12,459.24,#N/A N/A,,1/2/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/2/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/2/95,#N/A N/A,13.2,#N/A N/A,#N/A N/A,12.48,13.48,12.34,#N/A N/A,,1/2/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/2/95,#N/A N/A,9.14,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/3/95,#N/A N/A,129.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/3/95,#N/A N/A,7.88,#N/A N/A,#N/A N/A,7.83,7.83,7.83,#N/A N/A,,1/3/95,#N/A N/A,459.11,#N/A N/A,145608800,459.21,459.21,457.2,#N/A N/A,,1/3/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/3/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/3/95,#N/A N/A,14.25,#N/A N/A,#N/A N/A,14.09,14.71,13.39,#N/A N/A,,1/3/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/3/95,#N/A N/A,9.17,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/4/95,#N/A N/A,128.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/4/95,#N/A N/A,7.82,#N/A N/A,#N/A N/A,7.83,7.83,7.83,#N/A N/A,,1/4/95,#N/A N/A,460.71,#N/A N/A,178044304,459.13,460.72,457.56,#N/A N/A,,1/4/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/4/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/4/95,#N/A N/A,13.53,#N/A N/A,#N/A N/A,13.87,14.15,13.53,#N/A N/A,,1/4/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/4/95,#N/A N/A,9.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/5/95,#N/A N/A,129.6,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/5/95,#N/A N/A,7.88,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/5/95,#N/A N/A,460.34,#N/A N/A,168979392,460.73,461.3,459.75,#N/A N/A,,1/5/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/5/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/5/95,#N/A N/A,13.5,#N/A N/A,#N/A N/A,13.7,14.19,13.37,#N/A N/A,,1/5/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/5/95,#N/A N/A,9.15,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/6/95,#N/A N/A,123.2,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/6/95,#N/A N/A,7.87,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/6/95,#N/A N/A,460.68,#N/A N/A,190406592,460.38,462.49,459.47,#N/A N/A,,1/6/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/6/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/6/95,#N/A N/A,13.13,#N/A N/A,#N/A N/A,13.67,13.76,12.79,#N/A N/A,,1/6/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/6/95,#N/A N/A,9.09,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/9/95,#N/A N/A,116.8,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/9/95,#N/A N/A,7.89,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/9/95,#N/A N/A,460.83,#N/A N/A,167991296,460.67,461.77,459.74,#N/A N/A,,1/9/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/9/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/9/95,#N/A N/A,13.33,#N/A N/A,#N/A N/A,13.53,14.08,13.21,#N/A N/A,,1/9/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/9/95,#N/A N/A,9.04,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/10/95,#N/A N/A,126.7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/10/95,#N/A N/A,7.84,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/10/95,#N/A N/A,461.68,#N/A N/A,201346400,460.9,464.59,460.9,#N/A N/A,,1/10/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/10/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/10/95,#N/A N/A,12.52,#N/A N/A,#N/A N/A,12.49,13.25,11.97,#N/A N/A,,1/10/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/10/95,#N/A N/A,9.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/11/95,#N/A N/A,131.7,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/11/95,#N/A N/A,7.79,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/11/95,#N/A N/A,461.66,#N/A N/A,192525792,461.68,463.61,458.65,#N/A N/A,,1/11/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/11/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/11/95,#N/A N/A,12.15,#N/A N/A,#N/A N/A,12.03,13.13,11.95,#N/A N/A,,1/11/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/11/95,#N/A N/A,9.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/12/95,#N/A N/A,132.6,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/12/95,#N/A N/A,7.8,#N/A N/A,#N/A N/A,7.88,7.88,7.88,#N/A N/A,,1/12/95,#N/A N/A,461.64,#N/A N/A,172306400,461.64,461.93,460.63,#N/A N/A,,1/12/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/12/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/12/95,#N/A N/A,12.83,#N/A N/A,#N/A N/A,12.74,13.56,12.64,#N/A N/A,,1/12/95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,1/12/95,#N/A N/A,9.12,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
